"USER_ID","USERNAME","EMAIL","PASSWORD_HASH","FIRST_NAME","LAST_NAME","BIO","PROFILE_IMAGE","JOIN_DATE","LAST_LOGIN","ACCOUNT_STATUS","TOTAL_FOLLOWERS","TOTAL_RECIPES","CREATED_AT","UPDATED_AT"
6,"chef_master_005","chef.master.005@allrecipes.com","hash_chef_5","Chef","Master5","专业厨师，专注日式料理","",17-APR-25,13-DEC-25,"active",75,30,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
7,"chef_master_006","chef.master.006@allrecipes.com","hash_chef_6","Chef","Master6","专业厨师，专注中式烹饪","",28-APR-25,06-DEC-25,"active",80,32,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
8,"chef_master_007","chef.master.007@allrecipes.com","hash_chef_7","Chef","Master7","专业厨师，专注西餐烹饪","",09-MAY-25,29-NOV-25,"active",85,34,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
9,"chef_master_008","chef.master.008@allrecipes.com","hash_chef_8","Chef","Master8","专业厨师，专注日式料理","",20-MAY-25,22-NOV-25,"active",90,36,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
10,"chef_master_009","chef.master.009@allrecipes.com","hash_chef_9","Chef","Master9","专业厨师，专注中式烹饪","",31-MAY-25,15-DEC-25,"active",95,38,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
11,"chef_master_010","chef.master.010@allrecipes.com","hash_chef_10","Chef","Master10","专业厨师，专注西餐烹饪","",11-JUN-25,08-DEC-25,"active",100,40,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
12,"chef_master_011","chef.master.011@allrecipes.com","hash_chef_11","Chef","Master11","专业厨师，专注日式料理","",22-JUN-25,01-DEC-25,"active",105,42,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
13,"chef_master_012","chef.master.012@allrecipes.com","hash_chef_12","Chef","Master12","专业厨师，专注中式烹饪","",03-JUL-25,24-NOV-25,"active",110,44,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
14,"foodblogger_001","foodblog.001@allrecipes.com","hash_blog_1","Food","Blogger1","美食博主，粉丝数1100","",25-APR-25,15-DEC-25,"active",110,33,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
15,"foodblogger_002","foodblog.002@allrecipes.com","hash_blog_2","Food","Blogger2","美食博主，粉丝数1200","",08-MAY-25,12-DEC-25,"active",120,36,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
16,"foodblogger_003","foodblog.003@allrecipes.com","hash_blog_3","Food","Blogger3","美食博主，粉丝数1300","",21-MAY-25,09-DEC-25,"active",130,39,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
17,"foodblogger_004","foodblog.004@allrecipes.com","hash_blog_4","Food","Blogger4","美食博主，粉丝数1400","",03-JUN-25,06-DEC-25,"active",140,42,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
18,"foodblogger_005","foodblog.005@allrecipes.com","hash_blog_5","Food","Blogger5","美食博主，粉丝数1500","",16-JUN-25,18-DEC-25,"active",150,45,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
19,"foodblogger_006","foodblog.006@allrecipes.com","hash_blog_6","Food","Blogger6","美食博主，粉丝数1600","",29-JUN-25,15-DEC-25,"active",160,48,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
20,"foodblogger_007","foodblog.007@allrecipes.com","hash_blog_7","Food","Blogger7","美食博主，粉丝数1700","",12-JUL-25,12-DEC-25,"active",170,51,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
21,"foodblogger_008","foodblog.008@allrecipes.com","hash_blog_8","Food","Blogger8","美食博主，粉丝数1800","",25-JUL-25,09-DEC-25,"active",180,54,18-DEC-25 03.20.47.793000000 PM,18-DEC-25 03.20.47.793000000 PM
22,"user_common_001","user.common.001@allrecipes.com","hash_user_1","User","Common1","烹饪爱好者，分享日常美食","",08-JUL-25,13-DEC-25,"active",3,2,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
23,"user_common_002","user.common.002@allrecipes.com","hash_user_2","User","Common2","烹饪爱好者，分享日常美食","",25-JUL-25,08-DEC-25,"active",6,4,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
24,"user_common_003","user.common.003@allrecipes.com","hash_user_3","User","Common3","烹饪爱好者，分享日常美食","",11-AUG-25,03-DEC-25,"active",9,6,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
25,"user_common_004","user.common.004@allrecipes.com","hash_user_4","User","Common4","烹饪爱好者，分享日常美食","",28-AUG-25,28-NOV-25,"active",12,8,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
26,"user_common_005","user.common.005@allrecipes.com","hash_user_5","User","Common5","烹饪爱好者，分享日常美食","",14-SEP-25,18-DEC-25,"active",15,0,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
27,"user_common_006","user.common.006@allrecipes.com","hash_user_6","User","Common6","烹饪爱好者，分享日常美食","",23-JUN-25,13-DEC-25,"active",18,2,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
28,"user_common_007","user.common.007@allrecipes.com","hash_user_7","User","Common7","烹饪爱好者，分享日常美食","",10-JUL-25,08-DEC-25,"active",1,4,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
29,"user_common_008","user.common.008@allrecipes.com","hash_user_8","User","Common8","烹饪爱好者，分享日常美食","",27-JUL-25,03-DEC-25,"active",4,6,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
30,"user_common_009","user.common.009@allrecipes.com","hash_user_9","User","Common9","烹饪爱好者，分享日常美食","",13-AUG-25,28-NOV-25,"active",7,8,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
31,"user_common_010","user.common.010@allrecipes.com","hash_user_10","User","Common10","烹饪爱好者，分享日常美食","",30-AUG-25,18-DEC-25,"active",10,0,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
32,"user_common_011","user.common.011@allrecipes.com","hash_user_11","User","Common11","烹饪爱好者，分享日常美食","",16-SEP-25,13-DEC-25,"active",13,2,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
33,"user_common_012","user.common.012@allrecipes.com","hash_user_12","User","Common12","烹饪爱好者，分享日常美食","",25-JUN-25,08-DEC-25,"inactive",16,4,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
34,"user_common_013","user.common.013@allrecipes.com","hash_user_13","User","Common13","烹饪爱好者，分享日常美食","",12-JUL-25,03-DEC-25,"active",19,6,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
35,"user_common_014","user.common.014@allrecipes.com","hash_user_14","User","Common14","烹饪爱好者，分享日常美食","",29-JUL-25,28-NOV-25,"active",2,8,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
36,"user_common_015","user.common.015@allrecipes.com","hash_user_15","User","Common15","烹饪爱好者，分享日常美食","",15-AUG-25,18-DEC-25,"active",5,0,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
37,"user_common_016","user.common.016@allrecipes.com","hash_user_16","User","Common16","烹饪爱好者，分享日常美食","",01-SEP-25,13-DEC-25,"active",8,2,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
38,"user_common_017","user.common.017@allrecipes.com","hash_user_17","User","Common17","烹饪爱好者，分享日常美食","",18-SEP-25,08-DEC-25,"active",11,4,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
39,"user_common_018","user.common.018@allrecipes.com","hash_user_18","User","Common18","烹饪爱好者，分享日常美食","",27-JUN-25,03-DEC-25,"active",14,6,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
40,"user_common_019","user.common.019@allrecipes.com","hash_user_19","User","Common19","烹饪爱好者，分享日常美食","",14-JUL-25,28-NOV-25,"active",17,8,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
41,"user_common_020","user.common.020@allrecipes.com","hash_user_20","User","Common20","烹饪爱好者，分享日常美食","",31-JUL-25,18-DEC-25,"active",0,0,18-DEC-25 03.20.49.053000000 PM,18-DEC-25 03.20.49.053000000 PM
1,"admin","admin@allrecipes.com","hash_admin_123","Admin","User","系统管理员","",18-DEC-24,17-DEC-25,"active",10,5,18-DEC-25 03.20.44.999000000 PM,18-DEC-25 03.20.44.999000000 PM
2,"chef_master_001","chef.master.001@allrecipes.com","hash_chef_1","Chef","Master1","专业厨师，专注西餐烹饪","",04-MAR-25,11-DEC-25,"active",55,22,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
3,"chef_master_002","chef.master.002@allrecipes.com","hash_chef_2","Chef","Master2","专业厨师，专注日式料理","",15-MAR-25,04-DEC-25,"active",60,24,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
4,"chef_master_003","chef.master.003@allrecipes.com","hash_chef_3","Chef","Master3","专业厨师，专注中式烹饪","",26-MAR-25,27-NOV-25,"active",65,26,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
5,"chef_master_004","chef.master.004@allrecipes.com","hash_chef_4","Chef","Master4","专业厨师，专注西餐烹饪","",06-APR-25,20-NOV-25,"active",70,28,18-DEC-25 03.20.46.262000000 PM,18-DEC-25 03.20.46.262000000 PM
